time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
0.657,0.2757,0.5601,0.796,0.028947407,0.219527528,-0.059765138,0.019165039,-0.059624568,-0.077724881
0.657,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,0.019165039,-0.059624568,-0.077724881
0.657,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,0.019165039,-0.073465981,-0.085177951
0.794,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,0.018100316,-0.088372126,-0.079854332
0.794,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,0.007453071,-0.11818441,-0.072401263
0.795,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,-0.006388347,-0.173550084,-0.074530706
0.795,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,-0.021294488,-0.243821889,-0.071336538
0.795,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,-0.038330078,-0.320482045,-0.062818743
0.795,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,-0.060689293,-0.401401103,-0.048977323
0.795,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,-0.0830485,-0.474867076,-0.028747559
0.796,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,-0.0830485,-0.474867076,-0.028747559
0.796,0.2881,0.5655,0.7894,0.028947407,0.219527528,-0.059765138,-0.0830485,-0.474867076,-0.028747559
0.796,0.2881,0.5655,0.7894,-0.152925998,0.144941255,0.092836171,-0.0830485,-0.474867076,-0.028747559
0.796,0.2881,0.5655,0.7894,-0.152925998,0.144941255,0.092836171,-0.0830485,-0.474867076,-0.028747559
0.796,0.3138,0.5623,0.7767,-0.152925998,0.144941255,0.092836171,-0.0830485,-0.474867076,-0.028747559
0.796,0.3358,0.5499,0.7632,-0.152925998,0.144941255,0.092836171,-0.0830485,-0.474867076,-0.028747559
0.796,0.3226,0.5462,0.7591,-0.152925998,0.144941255,0.092836171,-0.0830485,-0.474867076,-0.028747559
0.796,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.0830485,-0.474867076,-0.028747559
0.796,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.093695745,-0.513197184,-0.012776693
0.797,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.088372126,-0.499355733,0.001064724
0.797,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.087307401,-0.465284556,0.004258898
0.797,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.086242676,-0.420566142,-0.002129449
0.797,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.085177951,-0.372653544,-0.003194173
0.797,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.084113225,-0.324740946,0.003194173
0.797,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.084113225,-0.27150473,0.00958252
0.797,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.075595431,-0.23636882,0.010647244
0.797,0.2994,0.544,0.7669,-0.152925998,0.144941255,0.092836171,-0.075595431,-0.23636882,0.010647244
0.798,0.2994,0.544,0.7669,0.219822466,0.051135752,-0.130770817,-0.075595431,-0.23636882,0.010647244
0.812,0.2984,0.5347,0.7762,0.219822466,0.051135752,-0.130770817,-0.075595431,-0.23636882,0.010647244
0.812,0.2969,0.532,0.7627,0.219822466,0.051135752,-0.130770817,-0.075595431,-0.23636882,0.010647244
